"Variable","n_runs"
"Secondary Energy|Electricity|Gas",409
"Secondary Energy|Electricity|Gas|w/ CCS",381
"Secondary Energy|Electricity|Gas|w/o CCS",406
"Secondary Energy|Electricity|Geothermal",288
"Secondary Energy|Electricity|Hydro",409
"Secondary Energy|Electricity|Non-Biomass Renewables",408
"Secondary Energy|Electricity|Nuclear",409
"Secondary Energy|Electricity|Ocean",35
"Secondary Energy|Electricity|Oil",409
"Secondary Energy|Electricity|Oil|w/ CCS",115
"Secondary Energy|Electricity|Oil|w/o CCS",262
"Secondary Energy|Electricity|Other",1
"Secondary Energy|Electricity|Solar",409
"Secondary Energy|Electricity|Solar|CSP",108
"Secondary Energy|Electricity|Solar|PV",114
"Secondary Energy|Electricity|Wind",409
"Secondary Energy|Electricity|Wind|Offshore",57
"Secondary Energy|Electricity|Wind|Onshore",105
"Secondary Energy|Gases",387
"Secondary Energy|Gases|Biomass",136
"Secondary Energy|Gases|Coal",136
"Secondary Energy|Gases|Natural Gas",284
"Secondary Energy|Heat",238
"Secondary Energy|Heat|Geothermal",97
"Secondary Energy|Hydrogen",203
"Secondary Energy|Hydrogen|Biomass",140
"Secondary Energy|Hydrogen|Biomass|w/ CCS",139
"Secondary Energy|Hydrogen|Biomass|w/o CCS",139
"Secondary Energy|Hydrogen|Electricity",140
"Secondary Energy|Hydrogen|Fossil",53
"Secondary Energy|Hydrogen|Fossil|w/ CCS",53
"Secondary Energy|Hydrogen|Fossil|w/o CCS",53
"Secondary Energy|Liquids",388
"Secondary Energy|Liquids|Biomass",353
"Secondary Energy|Liquids|Biomass|w/ CCS",204
"Secondary Energy|Liquids|Biomass|w/o CCS",284
"Secondary Energy|Liquids|Coal",177
"Secondary Energy|Liquids|Coal|w/ CCS",174
"Secondary Energy|Liquids|Coal|w/o CCS",174
"Secondary Energy|Liquids|Gas",115
"Secondary Energy|Liquids|Gas|w/ CCS",112
"Secondary Energy|Liquids|Gas|w/o CCS",112
"Secondary Energy|Liquids|Oil",352
"Secondary Energy|Solids",282
"Subsidies|Energy|Fossil",32
"Temperature|Global Mean",132
"Trade|Primary Energy|Biomass|Volume",49
"Trade|Primary Energy|Coal|Volume",82
"Trade|Primary Energy|Gas|Volume",82
"Trade|Primary Energy|Oil|Volume",82
"Trade|Secondary Energy|Electricity|Volume",6
"Trade|Secondary Energy|Liquids|Biomass|Volume",6
"Value Added|Commercial",26
"Value Added|Industry",26
"Water Consumption",1
"Water Consumption|Electricity",32
"Water Consumption|Extraction",1
"Water Consumption|Industrial Water",6
"Water Consumption|Irrigation",26
"Water Withdrawal",1
"Water Withdrawal|Electricity",32
"Water Withdrawal|Extraction",1
"Water Withdrawal|Industrial Water",6
"Water Withdrawal|Irrigation",1
